models,Default0,Default1,Default2,Default3,Default4,Caroline_sugg_0,Caroline_sugg_1,Caroline_sugg_2,Caroline_sugg_3,Caroline_sugg_4,Caroline_sugg_0_2000,Caroline_sugg_1_2000,Caroline_sugg_2_2000,Caroline_sugg_3_2000,Caroline_sugg_4_2000,Default_avg,C_sugg_avg,C_sugg_2000_avg
xy_ar_u,0.24050593376159668,0.06205606460571289,0.0006532669067382812,0.00069427490234375,0.0004715919494628906,0.0004696846008300781,0.000469207763671875,0.0004885196685791016,0.00047326087951660156,0.0004923343658447266,0.0004734992980957031,0.00047087669372558594,0.0004608631134033203,0.0004687309265136719,0.00047278404235839844,0.015968799591064453,0.00048083066940307617,0.00046831369400024414
xy_ar_u2,0.002804994583129883,0.0005776882171630859,0.0005335807800292969,0.0004496574401855469,0.0006079673767089844,0.0004425048828125,0.0006334781646728516,0.0006649494171142578,0.0004425048828125,0.0004374980926513672,0.0006287097930908203,0.00060272216796875,0.0006473064422607422,0.0006344318389892578,0.00048041343688964844,0.0005422234535217285,0.0005446076393127441,0.0005912184715270996
xy_uni_logistic,0.005168437957763672,0.000965118408203125,0.0007786750793457031,0.0007653236389160156,0.0009250640869140625,0.0007662773132324219,0.0007648468017578125,0.000827789306640625,0.0007660388946533203,0.0008482933044433594,0.0008306503295898438,0.0008337497711181641,0.0008504390716552734,0.0007693767547607422,0.0008006095886230469,0.0008585453033447266,0.0008017420768737793,0.0008135437965393066
xy_sinewn,0.006059169769287109,0.0002956390380859375,0.00025391578674316406,0.0002300739288330078,0.00024175643920898438,0.0003218650817871094,0.00023651123046875,0.00025844573974609375,0.0003724098205566406,0.0003788471221923828,0.0002493858337402344,0.00023984909057617188,0.0002238750457763672,0.00022935867309570312,0.00041294097900390625,0.00025534629821777344,0.0003115534782409668,0.0002765059471130371
ts_ar,0.0013616085052490234,0.0003368854522705078,0.0002703666687011719,0.00026607513427734375,0.0002713203430175781,0.0002677440643310547,0.0002701282501220703,0.00028204917907714844,0.00027489662170410156,0.0002715587615966797,0.00026917457580566406,0.0002658367156982422,0.0002663135528564453,0.0002644062042236328,0.0002689361572265625,0.0002861618995666504,0.000274658203125,0.0002663731575012207
ts_logistic,0.0006842613220214844,0.0001971721649169922,0.00015807151794433594,0.0001583099365234375,0.00016307830810546875,0.00015807151794433594,0.00015807151794433594,0.0001659393310546875,0.00015783309936523438,0.0001621246337890625,0.00015735626220703125,0.0001571178436279297,0.000156402587890625,0.00015783309936523438,0.00016355514526367188,0.0001691579818725586,0.00016099214553833008,0.00015872716903686523
ts_sine_intmt,0.0019254684448242188,0.00015473365783691406,0.0001239776611328125,0.00012350082397460938,0.0001246929168701172,0.00012254714965820312,0.00012350082397460938,0.0001316070556640625,0.0001246929168701172,0.00012302398681640625,0.00012230873107910156,0.0001277923583984375,0.00012683868408203125,0.00011968612670898438,0.00012540817260742188,0.00013172626495361328,0.00012570619583129883,0.00012493133544921875
ts_coinflip,0.006026744842529297,0.0015146732330322266,0.0012116432189941406,0.0012774467468261719,0.0012667179107666016,0.0012650489807128906,0.0012102127075195312,0.0012850761413574219,0.0012516975402832031,0.0011889934539794922,0.0012180805206298828,0.0012083053588867188,0.0011897087097167969,0.0012214183807373047,0.0011892318725585938,0.0013176202774047852,0.0012339949607849121,0.0012021660804748535
ts_noise_wv_kurtosis,0.001062154769897461,0.00019621849060058594,0.00014901161193847656,0.00015473365783691406,0.00014901161193847656,0.00015091896057128906,0.0001480579376220703,0.00017261505126953125,0.00014925003051757812,0.00014495849609375,0.0001475811004638672,0.0001499652862548828,0.00014734268188476562,0.00015211105346679688,0.000148773193359375,0.00016224384307861328,0.00015372037887573242,0.00014954805374145508
xy_FitzHugh_Nagumo,2.621227979660034,2.115125894546509,1.7922453880310059,2.2095110416412354,1.7176878452301025,1.9957265853881836,1.575263500213623,1.8116445541381836,1.7635581493377686,1.6804215908050537,2.4703516960144043,2.339094400405884,1.4383947849273682,2.3617334365844727,2.4262266159057617,1.9586425423622131,1.7077219486236572,2.1413623094558716
ts_chaoticLV,1.2619953155517578,1.2141921520233154,1.2715156078338623,1.0623137950897217,1.0007925033569336,1.100370168685913,1.0791654586791992,1.090930700302124,1.0612435340881348,1.0115110874176025,1.0456218719482422,0.9844980239868164,1.0506436824798584,0.9752230644226074,1.0474913120269775,1.1372035145759583,1.0607126951217651,1.014464020729065
xy_Caroline_LV,1.3659379482269287,0.9938559532165527,1.1385653018951416,1.0875232219696045,0.9910619258880615,3.065875291824341,2.8606417179107666,2.859088182449341,3.193315029144287,2.847888231277466,2.745858907699585,2.721583843231201,2.8283424377441406,2.7363321781158447,2.8094446659088135,1.05275160074234,2.940233290195465,2.77392578125
xy_Caroline_CH,2.4620559215545654,2.340158224105835,2.2664389610290527,2.5316052436828613,2.355644941329956,6.85305380821228,6.644737720489502,6.551799058914185,6.363249778747559,6.328005790710449,6.626102447509766,6.327869176864624,6.566345453262329,6.345287084579468,6.439927577972412,2.3734618425369263,6.471948087215424,6.419857323169708
