,0
lsa0,482.589724779129
lsa1,531.2397000789642
lsa2,476.49347710609436
lsa3,454.0463857650757
lsa4,536.0571999549866
lsa5,484.20508790016174
lsa6,456.2284128665924
lsa7,497.30040311813354
lsa8,514.8550589084625
lsa9,452.84230518341064
Avg_time,488.58577556610106
